plate	prot	well	fin.Ran.conc	GAP.working	date	cutoff_time
1	F54A	E1	5	1	20210118	3000
1	F54A	E2	5	1	20210118	3000
1	F54K	E3	5	1	20210118	3000
1	F54K	E4	5	1	20210118	3000
1	F54W	E5	5	1	20210118	3000
1	F54W	E6	5	1	20210118	3000
1	F54A	E7	5	1	20210118	3000
1	F54A	E8	5	1	20210118	3000
1	F54K	E9	5	1	20210118	3000
1	F54K	E10	5	1	20210118	3000
1	F54W	E11	5	1	20210118	3000
1	F54W	E12	5	1	20210118	3000
