11/11/2020 12:54 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
268.5	10.135
269.0	10.240
269.5	10.339
270.0	10.438
270.5	10.527
271.0	10.615
271.5	10.702
272.0	10.783
272.5	10.857
273.0	10.935
273.5	11.008
274.0	11.075
274.5	11.131
275.0	11.197
275.5	11.258
276.0	11.309
276.5	11.352
277.0	11.386
277.5	11.406
278.0	11.415
278.5	11.396
279.0	11.362
279.5	11.330
280.0	11.281
280.5	11.217
281.0	11.132
281.5	11.051
282.0	10.925
282.5	10.771
283.0	10.593
283.5	10.391
284.0	10.183
284.5	9.978
285.0	9.757
285.5	9.522
286.0	9.273
286.5	9.000
287.0	8.688
287.5	8.362
288.0	8.036
288.5	7.711
289.0	7.376
289.5	7.042
290.0	6.687
290.5	6.305
291.0	5.902
291.5	5.494
292.0	5.108
292.5	4.755
293.0	4.415
293.5	4.075
294.0	3.746
294.5	3.440
295.0	3.160
295.5	2.910
296.0	2.690
296.5	2.493
297.0	2.316
297.5	2.155
298.0	2.002
298.5	1.855
299.0	1.711
299.5	1.578
300.0	1.454
300.5	1.338
301.0	1.224
301.5	1.111
302.0	1.000
302.5	0.895
303.0	0.802
303.5	0.717
304.0	0.644
304.5	0.575
305.0	0.512
305.5	0.454
306.0	0.402
306.5	0.355
307.0	0.312
307.5	0.274
308.0	0.242
308.5	0.214
309.0	0.190
309.5	0.168
310.0	0.152
310.5	0.136
311.0	0.121
311.5	0.110
312.0	0.101
312.5	0.093
313.0	0.085
313.5	0.078
314.0	0.073
314.5	0.067
315.0	0.063
315.5	0.059
316.0	0.054
316.5	0.051
317.0	0.050
317.5	0.047
318.0	0.045
318.5	0.044
319.0	0.043
319.5	0.043
320.0	0.042
320.5	0.040
321.0	0.039
321.5	0.034
322.0	0.034
322.5	0.035
323.0	0.034
323.5	0.032
324.0	0.031
324.5	0.027
325.0	0.026
325.5	0.025
326.0	0.023
326.5	0.021
327.0	0.020
327.5	0.019
328.0	0.019
328.5	0.018
329.0	0.018
329.5	0.015
330.0	0.012
330.5	0.012
331.0	0.012
331.5	0.011
332.0	0.011
332.5	0.011
333.0	0.011
333.5	0.010
334.0	0.010
334.5	0.008
335.0	0.005
335.5	0.003
336.0	0.004
336.5	0.005
337.0	0.005
337.5	0.004
338.0	0.003
338.5	0.002
339.0	0.002
339.5	0.001
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.004
342.0	-0.006
342.5	-0.005
343.0	-0.004
343.5	-0.006
344.0	-0.007
344.5	-0.007
345.0	-0.006
345.5	-0.006
346.0	-0.007
346.5	-0.007
347.0	-0.006
347.5	-0.006
348.0	-0.007
348.5	-0.008
349.0	-0.006
349.5	-0.004
350.0	-0.002

