plate	prot	well	fin.Ran.conc	GAP.working	date	cutoff_time
1	F159L	G1	5	1	20210119	3000
1	F159L	G2	5	1	20210119	3000
1	F159W	G3	5	1	20210119	3000
1	F159W	G4	5	1	20210119	3000
1	F163L	G5	5	1	20210119	3000
1	F163L	G6	5	1	20210119	3000
1	F159L	G7	5	1	20210119	3000
1	F159L	G8	5	1	20210119	3000
1	F159W	G9	5	1	20210119	3000
1	F159W	G10	5	1	20210119	3000
1	F163L	G11	5	1	20210119	3000
1	F163L	G12	5	1	20210119	3000
