plate	prot	well	fin.Ran.conc	GAP.working	date	cutoff_time
1	WT	A1	5	1	20201117	3000
1	WT	A2	5	1	20201117	3000
1	F28V	A3	5	1	20201117	3000
1	F28V	A4	5	1	20201117	3000
1	F28V	A5	10	1	20201117	3000
1	F28V	A6	10	1	20201117	3000
1	F28Y	A7	5	1	20201117	3000
1	F28Y	A8	5	1	20201117	3000
1	F28Y	A9	10	1	20201117	3000
1	F28Y	A10	10	1	20201117	3000
