plate	prot	well	fin.Ran.conc	GAP.working	date	cutoff_time
1	WT	C1	5	1	20210117	3000
1	WT	C2	5	1	20210117	3000
1	WT	C3	5	1	20210117	3000
1	WT	C4	5	1	20210117	3000
1	G35A	C5	5	1	20210117	3000
1	G35A	C6	5	1	20210117	3000
1	G35D	C7	5	1	20210117	3000
1	G35D	C8	5	1	20210117	3000
1	G35D	C9	5	1	20210117	3000
1	G35D	C10	5	1	20210117	3000
1	G35A	C11	5	1	20210117	3000
1	G35A	C12	5	1	20210117	3000
