11/17/2020 10:21 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
268.0	0.075
268.5	0.076
269.0	0.077
269.5	0.079
270.0	0.079
270.5	0.080
271.0	0.081
271.5	0.083
272.0	0.084
272.5	0.084
273.0	0.085
273.5	0.085
274.0	0.087
274.5	0.088
275.0	0.089
275.5	0.090
276.0	0.090
276.5	0.089
277.0	0.089
277.5	0.090
278.0	0.090
278.5	0.089
279.0	0.090
279.5	0.089
280.0	0.086
280.5	0.086
281.0	0.084
281.5	0.084
282.0	0.082
282.5	0.081
283.0	0.079
283.5	0.076
284.0	0.075
284.5	0.074
285.0	0.072
285.5	0.070
286.0	0.068
286.5	0.067
287.0	0.066
287.5	0.065
288.0	0.063
288.5	0.062
289.0	0.060
289.5	0.059
290.0	0.056
290.5	0.052
291.0	0.050
291.5	0.045
292.0	0.041
292.5	0.038
293.0	0.037
293.5	0.035
294.0	0.030
294.5	0.027
295.0	0.025
295.5	0.023
296.0	0.022
296.5	0.021
297.0	0.020
297.5	0.018
298.0	0.018
298.5	0.018
299.0	0.017
299.5	0.018
300.0	0.017
300.5	0.017
301.0	0.017
301.5	0.017
302.0	0.017
302.5	0.016
303.0	0.014
303.5	0.012
304.0	0.010
304.5	0.010
305.0	0.010
305.5	0.010
306.0	0.008
306.5	0.009
307.0	0.007
307.5	0.007
308.0	0.004
308.5	0.002
309.0	0.000
309.5	-0.001
310.0	-0.002
310.5	-0.001
311.0	0.000
311.5	-0.001
312.0	-0.002
312.5	-0.002
313.0	-0.003
313.5	-0.002
314.0	-0.001
314.5	0.000
315.0	0.000
315.5	0.001
316.0	0.003
316.5	0.005
317.0	0.007
317.5	0.006
318.0	0.006
318.5	0.006
319.0	0.007
319.5	0.005
320.0	0.005
320.5	0.006
321.0	0.006
321.5	0.004
322.0	0.004
322.5	0.004
323.0	0.005
323.5	0.005
324.0	0.004
324.5	0.001
325.0	0.003
325.5	0.004
326.0	0.003
326.5	0.003
327.0	0.002
327.5	0.002
328.0	0.001
328.5	0.000
329.0	0.000
329.5	0.000
330.0	0.001
330.5	-0.001
331.0	-0.001
331.5	0.000
332.0	0.002
332.5	0.002
333.0	0.000
333.5	0.000
334.0	0.000
334.5	0.000
335.0	0.002
335.5	0.002
336.0	0.003
336.5	0.005
337.0	0.006
337.5	0.005
338.0	0.005
338.5	0.004
339.0	0.003
339.5	0.001
340.0	0.000
340.5	0.001
341.0	0.000
341.5	0.001
342.0	0.002
342.5	0.003
343.0	0.003
343.5	0.003
344.0	0.003
344.5	0.003
345.0	0.002
345.5	0.002
346.0	0.003
346.5	0.002
347.0	0.003
347.5	0.005
348.0	0.005
348.5	0.005
349.0	0.005
349.5	0.005
350.0	0.004



11/17/2020 10:22 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	11.111
220.5	11.031
221.0	10.932
221.5	10.760
222.0	10.573
222.5	10.348
223.0	10.119
223.5	9.802
224.0	9.493
224.5	9.111
225.0	8.735
225.5	8.424
226.0	8.165
226.5	7.952
227.0	7.752
227.5	7.559
228.0	7.372
228.5	7.196
229.0	7.019
229.5	6.826
230.0	6.613
230.5	6.385
231.0	6.155
231.5	5.904
232.0	5.625
232.5	5.316
233.0	4.984
233.5	4.651
234.0	4.319
234.5	3.983
235.0	3.656
235.5	3.340
236.0	3.041
236.5	2.770
237.0	2.519
237.5	2.280
238.0	2.051
238.5	1.836
239.0	1.649
239.5	1.498
240.0	1.379
240.5	1.285
241.0	1.210
241.5	1.147
242.0	1.095
242.5	1.047
243.0	1.004
243.5	0.969
244.0	0.940
244.5	0.919
245.0	0.903
245.5	0.890
246.0	0.878
246.5	0.869
247.0	0.861
247.5	0.856
248.0	0.853
248.5	0.852
249.0	0.853
249.5	0.856
250.0	0.859
250.5	0.862
251.0	0.868
251.5	0.874
252.0	0.879
252.5	0.887
253.0	0.895
253.5	0.907
254.0	0.920
254.5	0.933
255.0	0.946
255.5	0.962
256.0	0.981
256.5	0.999
257.0	1.016
257.5	1.033
258.0	1.049
258.5	1.059
259.0	1.069
259.5	1.081
260.0	1.089
260.5	1.096
261.0	1.105
261.5	1.112
262.0	1.118
262.5	1.126
263.0	1.132
263.5	1.143
264.0	1.155
264.5	1.169
265.0	1.183
265.5	1.198
266.0	1.212
266.5	1.224
267.0	1.235
267.5	1.246
268.0	1.260
268.5	1.274
269.0	1.285
269.5	1.297
270.0	1.307
270.5	1.318
271.0	1.326
271.5	1.336
272.0	1.344
272.5	1.354
273.0	1.362
273.5	1.371
274.0	1.378
274.5	1.385
275.0	1.391
275.5	1.397
276.0	1.401
276.5	1.405
277.0	1.408
277.5	1.410
278.0	1.411
278.5	1.411
279.0	1.409
279.5	1.404
280.0	1.397
280.5	1.388
281.0	1.376
281.5	1.364
282.0	1.347
282.5	1.330
283.0	1.307
283.5	1.283
284.0	1.259
284.5	1.237
285.0	1.212
285.5	1.185
286.0	1.157
286.5	1.129
287.0	1.096
287.5	1.061
288.0	1.023
288.5	0.987
289.0	0.948
289.5	0.911
290.0	0.868
290.5	0.824
291.0	0.777
291.5	0.727
292.0	0.678
292.5	0.633
293.0	0.589
293.5	0.546
294.0	0.500
294.5	0.458
295.0	0.418
295.5	0.382
296.0	0.351
296.5	0.324
297.0	0.300
297.5	0.278
298.0	0.257
298.5	0.238
299.0	0.220
299.5	0.203
300.0	0.187
300.5	0.173
301.0	0.159
301.5	0.143
302.0	0.128
302.5	0.115
303.0	0.103
303.5	0.091
304.0	0.081
304.5	0.073
305.0	0.064
305.5	0.059
306.0	0.051
306.5	0.045
307.0	0.038
307.5	0.033
308.0	0.028
308.5	0.023
309.0	0.022
309.5	0.019
310.0	0.017
310.5	0.015
311.0	0.015
311.5	0.013
312.0	0.012
312.5	0.012
313.0	0.011
313.5	0.010
314.0	0.010
314.5	0.010
315.0	0.010
315.5	0.010
316.0	0.011
316.5	0.011
317.0	0.011
317.5	0.009
318.0	0.009
318.5	0.008
319.0	0.008
319.5	0.006
320.0	0.005
320.5	0.005
321.0	0.008
321.5	0.008
322.0	0.006
322.5	0.007
323.0	0.008
323.5	0.007
324.0	0.004
324.5	0.002
325.0	0.004
325.5	0.004
326.0	0.003
326.5	0.003
327.0	0.002
327.5	0.002
328.0	0.002
328.5	-0.002
329.0	-0.003
329.5	-0.003
330.0	-0.004
330.5	-0.003
331.0	-0.002
331.5	0.000
332.0	0.001
332.5	0.001
333.0	0.001
333.5	0.002
334.0	0.001
334.5	0.002
335.0	0.003
335.5	0.001
336.0	0.003
336.5	0.004
337.0	0.005
337.5	0.004
338.0	0.004
338.5	0.003
339.0	0.001
339.5	0.000
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	0.000
342.0	-0.001
342.5	0.000
343.0	0.002
343.5	0.002
344.0	0.002
344.5	0.001
345.0	0.000
345.5	0.000
346.0	0.001
346.5	0.001
347.0	0.002
347.5	0.002
348.0	0.002
348.5	0.002
349.0	0.001
349.5	0.003
350.0	0.002



11/17/2020 10:22 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	8.127
220.5	8.917
221.0	9.830
221.5	10.758
222.0	11.591
222.5	12.555
223.0	13.759
223.5	14.973
224.0	16.423
224.5	18.041
225.0	19.743
225.5	20.870
226.0	21.856
226.5	22.432
227.0	22.693
227.5	22.916
228.0	23.070
228.5	22.794
229.0	22.384
229.5	21.926
230.0	21.293
230.5	20.435
231.0	19.536
231.5	18.585
232.0	17.565
232.5	16.524
233.0	15.498
233.5	14.480
234.0	13.514
234.5	12.600
235.0	11.707
235.5	10.860
236.0	10.074
236.5	9.323
237.0	8.589
